open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1683302400000,0.0039485,0.0044583,0.0035100,0.0037650,63194756919,1683309599999,248658147.7216815,718659,31211124469,122895437.1572746,0
1683309600000,0.0037684,0.0038377,0.0029441,0.0033442,135041364789,1683316799999,436235800.5787984,1346767,67432271561,217836872.8425406,0
1683316800000,0.0033461,0.0035700,0.0031300,0.0031977,60829231563,1683323999999,205231162.8408793,730059,30748531794,103806350.4900229,0
1683324000000,0.0031971,0.0038300,0.0031589,0.0037211,46481387962,1683331199999,160552678.9337715,613223,23779659524,82212096.0585602,0
1683331200000,0.0037212,0.0038333,0.0031449,0.0032739,56492528128,1683338399999,199250944.8608483,727863,27467567326,96953080.6265565,0
1683338400000,0.0032759,0.0033423,0.0029291,0.0030321,55564481087,1683345599999,173600452.5623747,565949,27042769805,84585602.3546547,0
1683345600000,0.0030333,0.0032889,0.0030200,0.0030838,40275655493,1683352799999,126006156.9819085,416424,20377637418,63791519.8320443,0
1683352800000,0.0030838,0.0031235,0.0025794,0.0027573,93518921962,1683359999999,261267249.6627658,724108,44499348428,124306277.1381867,0
1683360000000,0.0027552,0.0029400,0.0027275,0.0028900,50769479402,1683367199999,143799566.5966072,466153,25587739171,72531550.6292535,0
1683367200000,0.0028902,0.0031639,0.0028718,0.0030846,58830741342,1683374399999,179007914.4727897,565141,30529155878,92897894.3168100,0
1683374400000,0.0030832,0.0031071,0.0028120,0.0028921,58574109512,1683381599999,174358549.8303262,567716,29033206638,86456916.8880222,0
1683381600000,0.0028921,0.0029814,0.0027300,0.0029296,57450984573,1683388799999,164967808.7857778,542664,28696423324,82486847.2528972,0
1683388800000,0.0029295,0.0030684,0.0028042,0.0028693,44190174290,1683395999999,130741850.2379103,466594,21956292899,65040925.6538755,0
1683396000000,0.0028693,0.0029050,0.0024468,0.0025779,71462999155,1683403199999,189615658.6334757,612060,33797263753,89734829.9370607,0
1683403200000,0.0025776,0.0026639,0.0022908,0.0023704,67126112187,1683410399999,166416222.8693036,542351,32058057117,79582878.2179920,0
1683410400000,0.0023703,0.0026760,0.0023286,0.0026200,53199125157,1683417599999,131784675.1289027,465641,27522681528,68250489.8590262,0
1683417600000,0.0026197,0.0026865,0.0024348,0.0025540,44720346791,1683424799999,114336175.0506802,425670,22299545387,57020594.2905233,0
1683424800000,0.0025539,0.0026899,0.0025000,0.0025990,28960817414,1683431999999,74887143.3523311,292924,15072126190,38988468.5800764,0
1683432000000,0.0025990,0.0026600,0.0025149,0.0025580,26858256021,1683439199999,69448864.2468967,272494,13114953426,33918549.2632861,0
