open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1704067200000,108.770,111.750,108.580,111.600,54670.5,1704074399999,6033860.5230,28308,28099.8,3100237.8870,0
1704074400000,111.600,111.630,108.600,108.840,47173.3,1704081599999,5200321.6970,23041,18319.9,2015989.2920,0
1704081600000,108.830,109.590,107.730,108.570,53248.6,1704088799999,5784650.5230,29330,27737.9,3013353.6830,0
1704088800000,108.560,109.810,108.480,109.750,34177.4,1704095999999,3733478.8840,19386,16637.9,1817262.3200,0
1704096000000,109.730,110.390,109.390,110.130,32509.6,1704103199999,3574931.2510,18146,14031.1,1543020.9670,0
1704103200000,110.120,110.800,109.940,110.750,25237.3,1704110399999,2784617.1980,15387,11802.8,1302400.2520,0
1704110400000,110.760,111.900,110.400,111.240,34751.2,1704117599999,3865129.8880,20624,16468.4,1831752.0950,0
1704117600000,111.230,112.980,110.030,112.550,60012.9,1704124799999,6676473.3370,31654,29342.3,3265265.8890,0
1704124800000,112.560,113.300,111.960,112.800,49175.1,1704131999999,5537104.7270,29488,22638.5,2548990.4530,0
1704132000000,112.790,114.550,112.790,114.000,51102.7,1704139199999,5813516.6700,32214,26059.9,2965103.9570,0
1704139200000,113.990,114.750,113.270,114.160,47766.5,1704146399999,5444488.3950,29308,21591.1,2461815.5790,0
1704146400000,114.160,116.350,113.540,116.320,50037.2,1704153599999,5759394.1430,28407,26246.0,3021674.3230,0
1704153600000,116.320,120.070,115.700,119.550,122706.5,1704160799999,14479910.6130,66220,57193.7,6748968.7880,0
1704160800000,119.540,119.990,117.570,118.200,84254.4,1704167999999,10010805.9110,40899,34760.8,4130785.0180,0
1704168000000,118.210,118.970,116.220,116.290,55738.0,1704175199999,6561342.3820,27403,22501.0,2651739.7590,0
1704175200000,116.290,117.080,115.790,116.110,36625.9,1704182399999,4263321.7180,20428,19494.6,2269724.0230,0
1704182400000,116.110,119.040,115.960,117.840,61405.5,1704189599999,7240086.0980,34535,31460.4,3707250.6000,0
1704189600000,117.880,117.920,115.360,116.260,37215.1,1704196799999,4339322.7990,22224,17233.6,2009785.6880,0
1704196800000,116.270,116.840,115.150,115.360,41068.8,1704203999999,4759060.7660,22204,17786.6,2061256.1880,0
1704204000000,115.360,115.630,111.630,112.770,95257.3,1704211199999,10782181.1960,54267,40512.7,4584885.6750,0
1704211200000,112.780,113.520,111.220,112.010,72066.5,1704218399999,8091024.3740,39368,34305.2,3852963.7400,0
1704218400000,112.020,112.580,111.030,111.760,40816.6,1704225599999,4566335.9990,24370,22518.9,2519392.6720,0
1704225600000,111.770,112.690,108.170,109.880,135234.8,1704232799999,14912003.1390,56054,58166.6,6426677.1330,0
1704232800000,109.890,110.740,109.260,110.400,49671.2,1704239999999,5470480.6370,26405,26527.9,2921737.9260,0
1704240000000,110.390,111.810,110.220,111.060,66922.8,1704247199999,7434289.9640,32528,35369.7,3929458.8380,0
1704247200000,111.120,111.200,109.930,110.670,67600.4,1704254399999,7480200.7540,24081,37029.2,4097349.4290,0
1704254400000,110.670,112.600,110.530,112.090,58997.1,1704261599999,6572439.5750,25795,31628.0,3523302.2330,0
1704261600000,112.070,113.020,110.670,111.150,49289.1,1704268799999,5525967.9860,27648,21205.1,2378487.1960,0
1704268800000,111.150,113.200,111.150,112.490,38642.9,1704275999999,4340740.0250,24733,18945.5,2128267.7380,0
1704276000000,112.480,113.210,107.550,108.480,148942.9,1704283199999,16453840.8500,77147,71425.8,7891825.8780,0
1704283200000,108.480,108.510,88.870,100.910,521331.7,1704290399999,52095828.1130,257861,234519.1,23442639.6670,0
1704290400000,100.930,101.990,98.180,101.680,148729.3,1704297599999,14870236.6210,99582,64338.2,6435743.1900,0
1704297600000,101.700,102.530,99.460,100.560,121332.8,1704304799999,12239787.8060,79444,54194.0,5467606.1960,0
1704304800000,100.540,101.260,98.450,100.170,61874.3,1704311999999,6192798.4610,34025,31421.2,3144189.8360,0
1704312000000,100.160,103.180,100.110,103.060,52528.7,1704319199999,5354264.0520,29067,24450.2,2492475.2700,0
1704319200000,103.060,103.520,100.910,102.540,44995.3,1704326399999,4596626.9940,23585,20921.5,2136647.9800,0
1704326400000,102.530,103.950,101.410,101.930,69046.7,1704333599999,7095334.6500,33552,30412.0,3124031.0250,0
1704333600000,101.940,103.470,101.940,103.340,30566.1,1704340799999,3147013.6980,18342,15657.7,1611978.8760,0
1704340800000,103.360,103.910,102.810,103.360,30109.0,1704347999999,3108419.0720,17229,14740.9,1521794.8180,0
1704348000000,103.350,103.820,102.150,102.360,42854.8,1704355199999,4412052.4460,21685,22736.0,2340354.0200,0
1704355200000,102.370,103.130,101.810,102.800,44563.3,1704362399999,4569378.2100,24006,23042.6,2362985.2450,0
1704362400000,102.800,103.150,101.080,102.750,46506.3,1704369599999,4756226.1500,24969,24061.1,2461254.4790,0
1704369600000,102.760,104.030,102.540,103.230,44231.8,1704376799999,4570978.8850,22973,19482.9,2013400.6700,0
1704376800000,103.220,105.270,102.230,105.120,84955.4,1704383999999,8830816.5380,38517,40648.1,4225861.3830,0
1704384000000,105.120,105.410,103.760,104.100,51587.9,1704391199999,5396219.9390,25796,23720.6,2481959.8240,0
1704391200000,104.110,105.130,103.750,104.220,22877.9,1704398399999,2389599.1550,13535,11220.1,1171948.8650,0
1704398400000,104.220,105.530,103.780,104.230,28278.2,1704405599999,2957978.2730,16182,13547.1,1417613.0240,0
1704405600000,104.230,105.070,103.420,103.810,22777.3,1704412799999,2372433.4650,14177,11210.3,1168164.9930,0
1704412800000,103.820,108.610,101.510,104.040,221238.5,1704419999999,23371338.6110,88844,106854.2,11273436.7450,0
1704420000000,104.030,104.960,102.500,102.820,57248.8,1704427199999,5932408.7730,29454,25912.7,2684846.3170,0
1704427200000,102.790,103.580,102.060,103.450,41662.7,1704434399999,4286055.3650,21089,21108.7,2171390.9290,0
