1577836800000,7189.43,7225,7170.15,7210.24,6314.087,1577843999999,45414470.44640,10323,3337.076,24009664.81699,0
1577844000000,7210.38,7239.74,7206.46,7221.65,5741.672,1577851199999,41486632.26595,9263,3019.210,21814689.32962,0
1577851200000,7221.80,7225.41,7211.22,7220.31,2104.887,1577858399999,15194020.97469,3729,1104.258,7970781.39316,0
1577858400000,7220.31,7230,7193.52,7205.26,3633.464,1577865599999,26216674.23006,6569,1751.202,12636744.40658,0
1577865600000,7205.26,7206.29,7174,7184.45,5072.634,1577872799999,36470849.10532,13041,2214.316,15922193.24335,0
1577872800000,7184.46,7234.57,7181.43,7192.65,4963.659,1577879999999,35768647.08850,10386,2609.312,18804019.19906,0
1577880000000,7192.74,7226.90,7191.79,7215.54,4245.946,1577887199999,30632383.37444,7608,2293.302,16544503.95338,0
1577887200000,7215.49,7260.43,7204,7229.49,6764.582,1577894399999,48884187.90576,11576,3663.298,26474818.22870,0
1577894400000,7229.66,7248,7210.81,7233.80,4931.617,1577901599999,35661946.48529,8156,2750.069,19888114.29752,0
1577901600000,7233.87,7241.95,7222,7226.35,2856.245,1577908799999,20652572.40597,4499,1354.126,9790634.69635,0
1577908800000,7226.56,7242,7223.09,7229.71,2687.418,1577915999999,19433543.52745,4077,1405.968,10167276.06186,0
1577916000000,7229.71,7229.71,7174,7197.57,7485.118,1577923199999,53862832.75974,12644,3332.063,23978530.21938,0
1577923200000,7197.57,7209.59,7182.19,7188.73,3385.203,1577930399999,24355648.88989,5994,1579.422,11364524.88205,0
1577930400000,7188.64,7188.64,7121,7127.29,9978.697,1577937599999,71376475.91615,19264,4190.671,29978826.83363,0
1577937600000,7126.94,7159.30,7112.06,7135.44,7113.434,1577944799999,50786348.77460,13089,3491.168,24928191.16383,0
1577944800000,7135.44,7145.36,7101.00,7107.56,8496.927,1577951999999,60506955.85714,21578,4023.944,28660062.24092,0
1577952000000,7107.53,7163.99,7106.75,7159.41,8287.268,1577959199999,59172418.15145,20591,5122.683,36577799.84379,0
1577959200000,7159.41,7175.00,7136.24,7136.24,7064.543,1577966399999,50570508.25463,19142,3183.877,22793912.97427,0
1577966400000,7136.36,7160.00,7103.00,7127.24,9834.586,1577973599999,70105283.52574,17463,4543.658,32394737.05428,0
1577973600000,7127.50,7154.06,7115.03,7126.25,6801.970,1577980799999,48508311.10730,11469,3381.277,24116389.57902,0
1577980800000,7126.25,7143.29,6922.00,6966.86,34449.402,1577987999999,241748608.71951,64560,15616.718,109552331.01752,0
1577988000000,6966.99,6991.00,6947.00,6979.44,9351.914,1577995199999,65186040.53845,13521,4834.828,33703718.41023,0
1577995200000,6979.45,6982.83,6938.36,6973.50,6367.529,1578002399999,44317222.49343,11028,3259.225,22685733.94202,0
1578002400000,6973.85,6974.27,6950.01,6962.04,4164.204,1578009599999,28994008.85509,7048,2176.791,15155449.48421,0
1578009600000,6962.34,6962.80,6872.78,6884.74,12497.081,1578016799999,86451560.35951,22731,5396.102,37341130.15744,0
1578016800000,6884.72,6960.00,6863.44,6947.35,10923.980,1578023999999,75691546.14865,19165,5771.227,39986705.45194,0
1578024000000,6947.44,7300.00,6945.84,7215.59,41878.759,1578031199999,299136428.87779,81607,23028.689,164321022.38859,0
1578031200000,7214.42,7227.73,7182.42,7198.02,10672.136,1578038399999,76883707.73029,25280,5494.956,39588145.29898,0
1578038400000,7198.02,7360.76,7198.00,7345.15,27162.411,1578045599999,197854245.28232,51215,14609.599,106417858.57379,0
1578045600000,7345.15,7368.33,7280.44,7338.11,16857.582,1578052799999,123477430.93899,33571,8107.763,59386318.04012,0
1578052800000,7338.40,7379.00,7306.01,7346.07,10825.992,1578059999999,79397718.72345,19777,5896.954,43255924.26086,0
1578060000000,7345.74,7359.95,7229.00,7316.01,18808.467,1578067199999,136827125.07005,39310,9202.720,66953490.73854,0
1578067200000,7315.36,7407.28,7289.06,7352.90,24833.198,1578074399999,182692504.04224,51931,13097.851,96373426.80481,0
1578074400000,7352.88,7368.22,7276.35,7338.90,12227.186,1578081599999,89619398.62765,25932,5777.318,42348465.54800,0
1578081600000,7338.91,7359.00,7257.67,7277.27,10859.092,1578088799999,79400167.52412,18852,5128.758,37507145.58153,0
1578088800000,7277.28,7342.00,7255.84,7341.72,10947.574,1578095999999,79881780.10446,20449,5974.028,43577174.93329,0
1578096000000,7341.60,7347.02,7279.00,7305.22,6315.984,1578103199999,46143250.53682,11880,2870.785,20971238.20802,0
1578103200000,7304.97,7336.50,7292.89,7329.29,4727.571,1578110399999,34597598.90106,10572,2304.118,16861399.59528,0
1578110400000,7329.40,7368.47,7310.00,7341.00,6111.434,1578117599999,44830918.03592,10515,3150.713,23112891.53240,0
1578117600000,7341.00,7362.15,7322.45,7344.13,7292.503,1578124799999,53565273.74747,12036,3488.460,25622921.64205,0
1578124800000,7344.11,7366.00,7328.27,7360.73,4669.708,1578131999999,34304214.69959,8998,2494.971,18329526.33097,0
1578132000000,7360.24,7364.00,7295.20,7333.07,9544.377,1578139199999,69950194.12075,17778,4470.806,32768405.43764,0
1578139200000,7333.07,7333.54,7286.16,7299.98,7025.345,1578146399999,51350418.25710,14221,3227.277,23589452.38200,0
1578146400000,7299.98,7327.51,7294.00,7315.45,5760.174,1578153599999,42122684.58505,10623,3045.410,22268264.64189,0
1578153600000,7315.94,7349.25,7294.14,7349.04,6692.260,1578160799999,48987971.70598,14944,3549.718,25989746.21801,0
1578160800000,7349.04,7400.00,7269.21,7331.35,23743.163,1578167999999,173966848.49957,51373,12016.022,88091911.70834,0
